scope,success,runs,median_cost_usd,median_duration_seconds,median_steps,median_tool_calls,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate
all_runs,false,31455,0.02263463020324707,565.1090087890625,12.0,13.0,0.0069695268861527495,0.07452085607145134,0.09324071867671543
all_runs,true,20649,0.0,307.04901123046875,6.0,6.0,0.005567812921419238,0.040821679153413615,0.06475813081620375
trajectory_only,false,23383,0.08523494720458985,498.7669982910156,22.0,25.0,0.00937546372167535,0.10024605601195322,0.1254281660170245
trajectory_only,true,11079,0.0873488998413086,282.5260009765625,18.0,23.0,0.010377269520208128,0.0760832974852277,0.12069596924124842
