scope,success,runs,median_cost_usd,median_duration_seconds,median_steps,median_tool_calls,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate
all_runs,false,66647,,,39.0,19.0,0.018617673240443007,0.2627633297618232,0.0794715361772549
all_runs,true,13389,,,25.0,12.0,0.003239367575933013,0.1742867329366228,0.018237264815587885
trajectory_only,true,13389,,,25.0,12.0,0.003239367575933013,0.1742867329366228,0.018237264815587885
trajectory_only,false,66647,,,39.0,19.0,0.018617673240443007,0.2627633297618232,0.0794715361772549
