model,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd,comparison_scope
swe-agent-llama-405b,1191,100,308,0.2586062132661629,,55.0,27.0,1.0,0.0,0.0,,0.0205063564808588,0.3096283248897356,0.1388089023177814,0.963056255247691,68195a1450865274106246d0d0296a1d6807b88e,,0.24322252747252743,0.2345420257867733,0.2842226372447114,false,true,,uncontrolled_historical_model_summary
swe-agent-llama-8b,4053,528,614,0.15149272144090797,,53.0,26.0,1.0,0.0,0.0,,0.02763021497344632,0.3154469694331958,0.13334185698673515,0.9467061435973353,68195a1450865274106246d0d0296a1d6807b88e,,0.07430481467209969,0.14078500423879486,0.16286047208446114,false,true,,uncontrolled_historical_model_summary
swe-agent-llama-70b,74792,3591,12467,0.16668895068991335,,35.0,17.0,1.0,0.0,0.0,,0.015346235280162199,0.24332333409814227,0.06464544685519437,0.9321317787998716,68195a1450865274106246d0d0296a1d6807b88e,,0.10011419847203178,0.1640350124014246,0.169377127452083,false,true,,uncontrolled_historical_model_summary
