task_name,runs,agents,models,pass_rate,median_duration_seconds,median_steps,mean_suspected_waste_rate
install-windows-3.11,586,26,44,0.02218430034129693,428.5669860839844,12.0,0.0038417148661408357
fix-code-vulnerability,582,26,44,0.6082474226804123,286.97999572753906,19.0,0.008246623030868922
video-processing,588,26,44,0.047619047619047616,301.58799743652344,7.0,0.0005589343751437857
log-summary-date-ranges,585,26,44,0.6923076923076923,123.60199737548828,6.0,0.004330662531538709
regex-log,583,26,44,0.6792452830188679,209.3979949951172,4.0,0.0012191649142086986
adaptive-rejection-sampler,585,26,44,0.3111111111111111,737.4810180664062,8.0,0.005742756756932254
schemelike-metacircular-eval,587,26,44,0.27427597955706984,1141.292,19.0,0.003419813449423436
code-from-image,591,26,44,0.6666666666666666,200.89599609375,9.0,0.0025799559738402442
sparql-university,588,26,44,0.3554421768707483,198.09449768066406,7.0,0.0014856283381287797
portfolio-optimization,584,26,44,0.8065068493150684,357.5274963378906,12.0,0.005351895348861159
pypi-server,584,26,44,0.6592465753424658,236.3730010986328,7.0,0.0006516707621368496
break-filter-js-from-html,588,26,44,0.272108843537415,449.76649475097656,9.0,0.0008254595974275214
custom-memory-heap-crash,590,26,44,0.7101694915254237,399.1914978027344,13.0,0.0038577054078367985
kv-store-grpc,588,26,44,0.5782312925170068,157.05500030517578,7.0,0.001483216674026881
gpt2-codegolf,583,26,44,0.017152658662092625,650.088,8.0,0.0040084270394709675
tune-mjcf,586,26,44,0.4061433447098976,925.4835205078125,19.0,0.004442286737433242
headless-terminal,588,26,44,0.7397959183673469,208.21050262451172,8.0,0.005867669527666194
large-scale-text-editing,583,26,44,0.4888507718696398,423.7019958496094,9.0,0.008968789963034612
sqlite-db-truncate,586,26,44,0.4590443686006826,192.95349884033203,11.0,0.0041675065296847775
